Anwendung,Produkt, MDI / MA / MDI-frei,Ausbringvariante,Baustoffklasse,Produktnamen 
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,F (B3),EOEbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,F (B3),EOEbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEbase plus
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,F (B3),EOEbase plus
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,E (B2),EOEbase plus pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,F (B3),EOEbase plus pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,E (B2),EOEbase pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,F (B3),EOEbase pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEbase top
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,F (B3),EOEbase top
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,Combi,E (B2),EOEbase top combi
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,E (B2),EOEbase top pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,F (B3),EOEbase top pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEfill MEGA
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,Combi,E (B2),EOEfill MEGA combi
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Kennzeichnungsfreier Füllschaum,MA,PS,E (B2),EOEfill MEGA pro
Fenster,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEflex
Fenster,Kennzeichnungsfreier Füllschaum,MA,AS,E (B2),EOEflex
Fenster,Kennzeichnungsfreier Füllschaum,MA,Combi,E (B2),EOEflex combi
Fenster,Kennzeichnungsfreier Füllschaum,MA,PS,E (B2),EOEflex pro
Fenster,Kennzeichnungsfreier Winter Füllschaum,MA,AS,E (B2),EOEfrost
Fenster,Kennzeichnungsfreier Winter Füllschaum,MA,AS,E (B2),EOEfrost
Fenster,Kennzeichnungsfreier Winter Füllschaum,MA,PS,E (B2),EOEfrost pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Isocyanatfreier Füllschaum,MDI-frei,AS,F (B3),EOElan
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Isocyanatfreier Füllschaum,MDI-frei,PS,F (B3),EOElan pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Isocyanatfreier Füllschaum,MDI-frei,Combi,F (B3),EOElan top
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standardfüllschaum,MDI,AS,E (B2),FARAbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standardfüllschaum,MDI,AS,E (B2),FARAbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standardfüllschaum,MDI,AS,E (B2),FARAbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standardfüllschaum,MDI,AS,F (B3),FARAbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standardfüllschaum,MDI,AS,F (B3),FARAbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standardfüllschaum,MDI,AS,F (B3),FARAbase
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standard Füllschaum,MDI,PS,E (B2),FARAbase pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standard Füllschaum,MDI,PS,E (B2),FARAbase pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standard Füllschaum,MDI,PS,F (B3),FARAbase pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standard Füllschaum,MDI,PS,F (B3),FARAbase pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Standard Füllschaum,MDI,Combi,F (B3),FARAbase top
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,AS,E (B2),FARAbasic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,AS,E (B2),FARAbasic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,AS,E (B2),FARAbasic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,AS,F (B3),FARAbasic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,AS,F (B3),FARAbasic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,AS,F (B3),FARAbasic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,PS,E (B2),FARAbasic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,PS,E (B2),FARAbasic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,PS,F (B3),FARAbasic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,EOEnomic Standard Füllschaum,MDI,PS,F (B3),FARAbasic pro
Perimeter,Kleber,MDI,AS,F (B3),FARAcell
Perimeter,Kleber,MDI,AS,F (B3),FARAcell
Perimeter,Kleber,MDI,AS,F (B3),FARAcell
Perimeter,Kleber,MDI,PS,F (B3),FARAcell pro
Perimeter,Kleber,MDI,PS,F (B3),FARAcell pro
Perimeter,Kleber,MDI,Combi,F (B3),FARAcell top
Pistolen Reinigung / Reinigung frischer PUR-Schaum,Standardreingier,n.r.,PR,n.r.,FARAclean   
Pistolen Reinigung & Pflege / Reinigung frischer PUR-Schaum,Pflegereingier,n.r.,PR,n.r.,FARAclean & care
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,AS,E (B2),FARAcoustic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,AS,E (B2),FARAcoustic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,AS,E (B2),FARAcoustic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,AS,F (B3),FARAcoustic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,AS,F (B3),FARAcoustic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,AS,F (B3),FARAcoustic
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,PS ,E (B2),FARAcoustic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,PS ,E (B2),FARAcoustic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,PS ,F (B3),FARAcoustic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,PS ,F (B3),FARAcoustic pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Schallschutzschaum,MDI,Combi,F (B3),FARAcoustic top
Türen,2K-Schaum,MDI,PS,E (B2),FARAduo fix
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,AS,E (B2),FARAfill
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,AS,E (B2),FARAfill
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,AS,E (B2),FARAfill
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,PS,E (B2),FARAfill pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,PS,E (B2),FARAfill pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,PS,F (B3),FARAfill pro
Fenster; Innenausbau; Hohlräume; Sanitär; Leitungsbau,Megaschaum,MDI,PS,F (B3),FARAfill pro
Türen,1.5K-Schaum,MDI,AS,E (B2),FARAfix
Türen,1.5K-Schaum,MDI,AS,E (B2),FARAfix
Türen,1.5K-Schaum,MDI,AS,E (B2),FARAfix
Türen,1.5K-Schaum,MDI,AS,E (B2),FARAfix
Türen,1.5K-Schaum,MDI,AS,E (B2),FARAfix
Türen,1.5K-Schaum,MDI,AS,E (B2),FARAfix
Sanitär,1.5K-Schaum,MDI,AS,E (B2),FARAfix bath
Sanitär,1.5K-Schaum,MDI,AS,E (B2),FARAfix bath
Sanitär,1.5K-Schaum,MDI,AS,E (B2),FARAfix bath
Sanitär,1.5K-Schaum,MDI,AS,E (B2),FARAfix bath
Fenster; Innenausbau,Weichschaum,MDI,AS,F (B3),FARAflex
Fenster; Innenausbau,Weichschaum,MDI,AS,F (B3),FARAflex
Fenster; Innenausbau,Weichschaum,MDI,AS,F (B3),FARAflex
Fenster; Innenausbau,Weichschaum,MDI,PS,E (B2),FARAflex pro
Fenster; Innenausbau,Weichschaum,MDI,PS,E (B2),FARAflex pro
Fenster; Innenausbau,Weichschaum,MDI,PS,F (B3),FARAflex pro
Fenster; Innenausbau,Weichschaum,MDI,PS,F (B3),FARAflex pro
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,PS,E (B2),FARAfrost pro
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,PS,E (B2),FARAfrost pro
Leitungsbau,Sicherungsschaum,MDI,AS,F (B3),FARAguard
Leitungsbau,Sicherungsschaum,MDI,AS,F (B3),FARAguard
Leitungsbau,Sicherungsschaum,MDI,AS,F (B3),FARAguard
Leitungsbau,Sicherungsschaum,MDI,PS,F (B3),FARAguard pro
Leitungsbau,Sicherungsschaum,MDI,PS,F (B3),FARAguard pro
Leitungsbau,Sicherungsschaum,MDI,Combi,F (B3),FARAguard top
Fenster; Türen; Innenausbau; Hohlräume; Leitungsbau,Brandschutzschaum,MDI,AS,B / EI,FARAheat
Fenster; Türen; Innenausbau; Hohlräume; Leitungsbau,Brandschutzschaum,MDI,AS,B / EI,FARAheat
Fenster; Türen; Innenausbau; Hohlräume; Leitungsbau,Brandschutzschaum,MDI,AS,B / EI,FARAheat
Fenster; Türen; Innenausbau; Hohlräume; Leitungsbau,Brandschutzschaum,MDI,PS,B / EI,FARAheat pro
Fenster; Türen; Innenausbau; Hohlräume; Leitungsbau,Brandschutzschaum,MDI,PS,B / EI,FARAheat pro
Fenster; Türen; Innenausbau; Hohlräume; Leitungsbau,Brandschutzschaum,MDI,Combi,B / EI,FARAheat top
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,AS,F (B3),FARAice
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,AS,F (B3),FARAice
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,AS,F (B3),FARAice
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,PS,F (B3),FARAice pro
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,PS,F (B3),FARAice pro
Fenster; Innenausbau; Hohlräume; Leitungsbau,Winterschaum,MDI,Combi,E (B2),FARAice top
Schalungsbau,Schalungsschaum,MDI,AS,F (B3),FARAmould
Schalungsbau,Schalungsschaum,MDI,AS,F (B3),FARAmould
Schalungsbau,Schalungsschaum,MDI,AS,F (B3),FARAmould
Schalungsbau,Schalungsschaum,MDI,PS,F (B3),FARAmould pro
Schalungsbau,Schalungsschaum,MDI,PS,F (B3),FARAmould pro
Dach,Dachpfannenschaum,MDI,AS,E (B2),FARAroof
Dach,Dachpfannenschaum,MDI,AS,E (B2),FARAroof
Dach,Dachpfannenschaum,MDI,AS,E (B2),FARAroof
Dach,Dachpfannenschaum,MDI,AS,F (B3),FARAroof
Dach,Dachpfannenschaum,MDI,AS,F (B3),FARAroof
Dach,Dachpfannenschaum,MDI,AS,F (B3),FARAroof
Dach,Dachpfannenschaum,MDI,PS,E (B2),FARAroof pro
Dach,Dachpfannenschaum,MDI,PS,E (B2),FARAroof pro
Dach,Dachpfannenschaum,MDI,PS,F (B3),FARAroof pro
Dach,Dachpfannenschaum,MDI,PS,F (B3),FARAroof pro
Dach,Dachpfannenschaum,MDI,Combi,F (B3),FARAroof top
Dach,Dämmstoffplatten Kleber,MDI,PS,E (B2),FARAroofing pro
Dach,Dämmstoffplatten Kleber,MDI,PS,E (B2),FARAroofing pro
Mauerwerk,Steinkleber,MDI,AS,F (B3),FARAstone
Mauerwerk,Steinkleber,MDI,AS,F (B3),FARAstone
Mauerwerk,Steinkleber,MDI,AS,F (B3),FARAstone
Mauerwerk,Steinkleber,MDI,PS,F (B3),FARAstone pro
Mauerwerk,Steinkleber,MDI,PS,F (B3),FARAstone pro
Mauerwerk,Steinkleber,MDI,Combi,F (B3),FARAstone top
Schacht- und Abwasserelemente,Schachtkleber,MDI,AS,F (B3),FARAsub
Schacht- und Abwasserelemente,Schachtkleber,MDI,AS,F (B3),FARAsub
Schacht- und Abwasserelemente,Schachtkleber,MDI,AS,F (B3),FARAsub
Schacht- und Abwasserelemente,Schachtkleber,MDI,PS,F (B3),FARAsub pro
Schacht- und Abwasserelemente,Schachtkleber,MDI,PS,F (B3),FARAsub pro
Schacht- und Abwasserelemente,Schachtkleber,MDI,Combi,F (B3),FARAsub top
Fassade,WDVS-Kleber,MDI,PS,B2,FARAtherm pro
Fassade,WDVS-Kleber,MDI,PS,B2,FARAtherm pro
Fassade,WDVS-Kleber,MDI,PS,F (B3),FARAtherm pro
Fassade,WDVS-Kleber,MDI,PS,F (B3),FARAtherm pro
Brunnenelemente,Brunnenkleber,MDI,AS,F (B3),FARAtube
Brunnenelemente,Brunnenkleber,MDI,AS,F (B3),FARAtube
Brunnenelemente,Brunnenkleber,MDI,AS,F (B3),FARAtube
Brunnenelemente,Brunnenkleber,MDI,PS,F (B3),FARAtube pro
Brunnenelemente,Brunnenkleber,MDI,PS,F (B3),FARAtube pro
Innenausbau,Plattenkleber,MDI,AS,E (B2),FARAwall
Innenausbau,Plattenkleber,MDI,AS,E (B2),FARAwall
Innenausbau,Plattenkleber,MDI,AS,E (B2),FARAwall
Innenausbau,Plattenkleber,MDI,AS,F (B3),FARAwall
Innenausbau,Plattenkleber,MDI,AS,F (B3),FARAwall
Innenausbau,Plattenkleber,MDI,AS,F (B3),FARAwall
Innenausbau,Plattenkleber,MDI,PS,E (B2),FARAwall pro
Innenausbau,Plattenkleber,MDI,PS,E (B2),FARAwall pro
Innenausbau,Plattenkleber,MDI,PS,F (B3),FARAwall pro
Innenausbau,Plattenkleber,MDI,PS,F (B3),FARAwall pro